scenario,rtt_ms,capacity_mbps,packet_loss_rate,min_send_interval_ms,max_send_interval_ms,winner,winner_throughput_mbps,winner_file_time_s,winner_metric
rtt-150,150.000000,0.200000,0.001000,1.000000,10.000000,TCP_CUBIC,0.239403,334.164568,min_file_time
rtt-150,150.000000,0.200000,0.020000,1.000000,10.000000,TCP_CUBIC,0.189205,422.821807,min_file_time
rtt-150,150.000000,0.200000,0.050000,1.000000,10.000000,TCP_CUBIC,0.162176,493.291239,min_file_time
rtt-150,150.000000,0.200000,0.100000,1.000000,10.000000,TCP_CUBIC,0.150592,531.236719,min_file_time
rtt-150,150.000000,0.200000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-150,150.000000,0.300000,0.001000,1.000000,10.000000,TCP_CUBIC,0.362965,220.406926,min_file_time
rtt-150,150.000000,0.300000,0.020000,1.000000,10.000000,TCP_CUBIC,0.316629,252.661632,min_file_time
rtt-150,150.000000,0.300000,0.050000,1.000000,10.000000,TCP_CUBIC,0.181483,440.812638,min_file_time
rtt-150,150.000000,0.300000,0.100000,1.000000,10.000000,TCP_BBR,0.258709,309.227742,min_file_time
rtt-150,150.000000,0.300000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-150,150.000000,0.500000,0.001000,1.000000,10.000000,TCP_CUBIC,0.602368,132.809180,min_file_time
rtt-150,150.000000,0.500000,0.020000,1.000000,10.000000,TCP_BBR,0.559893,142.884444,min_file_time
rtt-150,150.000000,0.500000,0.050000,1.000000,10.000000,TCP_BBR,0.521280,153.468386,min_file_time
rtt-150,150.000000,0.500000,0.100000,1.000000,10.000000,QUIC_BBR,0.207981,384.650521,min_file_time
rtt-150,150.000000,0.500000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-150,150.000000,1.000000,0.001000,1.000000,10.000000,TCP_CUBIC,1.197013,66.833025,min_file_time
rtt-150,150.000000,1.000000,0.020000,1.000000,10.000000,TCP_BBR,1.023253,78.182033,min_file_time
rtt-150,150.000000,1.000000,0.050000,1.000000,10.000000,TCP_BBR,1.108203,72.188940,min_file_time
rtt-150,150.000000,1.000000,0.100000,1.000000,10.000000,TCP_BBR,1.019392,78.478152,min_file_time
rtt-150,150.000000,1.000000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-150,150.000000,2.000000,0.001000,1.000000,10.000000,TCP_CUBIC,2.332245,34.301714,min_file_time
rtt-150,150.000000,2.000000,0.020000,1.000000,10.000000,TCP_BBR,1.154539,69.291726,min_file_time
rtt-150,150.000000,2.000000,0.050000,1.000000,10.000000,TCP_BBR,2.054229,38.944052,min_file_time
rtt-150,150.000000,2.000000,0.100000,1.000000,10.000000,TCP_BBR,1.834133,43.617339,min_file_time
rtt-150,150.000000,2.000000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-150,150.000000,3.000000,0.001000,1.000000,10.000000,TCP_BBR,3.421141,23.384011,min_file_time
rtt-150,150.000000,3.000000,0.020000,1.000000,10.000000,TCP_BBR,1.158400,69.060773,min_file_time
rtt-150,150.000000,3.000000,0.050000,1.000000,10.000000,TCP_BBR,2.405611,33.255585,min_file_time
rtt-150,150.000000,3.000000,0.100000,1.000000,10.000000,TCP_BBR,2.220267,36.031702,min_file_time
rtt-150,150.000000,3.000000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-237,237.886000,0.200000,0.001000,1.000000,10.000000,TCP_CUBIC,0.231680,345.303867,min_file_time
rtt-237,237.886000,0.200000,0.020000,1.000000,10.000000,TCP_CUBIC,0.189205,422.821807,min_file_time
rtt-237,237.886000,0.200000,0.050000,1.000000,10.000000,TCP_CUBIC,0.146731,545.215394,min_file_time
rtt-237,237.886000,0.200000,0.100000,1.000000,10.000000,TCP_CUBIC,0.146731,545.215394,min_file_time
rtt-237,237.886000,0.200000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-237,237.886000,0.300000,0.001000,1.000000,10.000000,TCP_CUBIC,0.347520,230.202578,min_file_time
rtt-237,237.886000,0.300000,0.020000,1.000000,10.000000,TCP_CUBIC,0.247125,323.722812,min_file_time
rtt-237,237.886000,0.300000,0.050000,1.000000,10.000000,TCP_BBR,0.235541,339.643629,min_file_time
rtt-237,237.886000,0.300000,0.100000,1.000000,10.000000,TCP_CUBIC,0.146731,545.215394,min_file_time
rtt-237,237.886000,0.300000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-237,237.886000,0.500000,0.001000,1.000000,10.000000,TCP_CUBIC,0.579200,138.121547,min_file_time
rtt-237,237.886000,0.500000,0.020000,1.000000,10.000000,TCP_BBR,0.536725,149.052122,min_file_time
rtt-237,237.886000,0.500000,0.050000,1.000000,10.000000,TCP_BBR,0.505835,158.154339,min_file_time
rtt-237,237.886000,0.500000,0.100000,1.000000,10.000000,TCP_BBR,0.444053,180.158675,min_file_time
rtt-237,237.886000,0.500000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-237,237.886000,1.000000,0.001000,1.000000,10.000000,TCP_BBR,1.115925,71.689406,min_file_time
rtt-237,237.886000,1.000000,0.020000,1.000000,10.000000,TCP_BBR,1.046421,76.451065,min_file_time
rtt-237,237.886000,1.000000,0.050000,1.000000,10.000000,TCP_BBR,0.818603,97.727470,min_file_time
rtt-237,237.886000,1.000000,0.100000,1.000000,10.000000,TCP_BBR,0.691179,115.744257,min_file_time
rtt-237,237.886000,1.000000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-237,237.886000,2.000000,0.001000,1.000000,10.000000,TCP_BBR,2.112149,37.876116,min_file_time
rtt-237,237.886000,2.000000,0.020000,1.000000,10.000000,TCP_BBR,1.158400,69.060773,min_file_time
rtt-237,237.886000,2.000000,0.050000,1.000000,10.000000,TCP_BBR,1.123648,71.196674,min_file_time
rtt-237,237.886000,2.000000,0.100000,1.000000,10.000000,TCP_BBR,0.536725,149.052122,min_file_time
rtt-237,237.886000,2.000000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-237,237.886000,3.000000,0.001000,1.000000,10.000000,TCP_BBR,1.926805,41.519510,min_file_time
rtt-237,237.886000,3.000000,0.020000,1.000000,10.000000,TCP_BBR,1.251072,63.945161,min_file_time
rtt-237,237.886000,3.000000,0.050000,1.000000,10.000000,TCP_BBR,1.702848,46.980118,min_file_time
rtt-237,237.886000,3.000000,0.100000,1.000000,10.000000,TCP_BBR,0.505835,158.154339,min_file_time
rtt-237,237.886000,3.000000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-80,80.000000,0.200000,0.001000,1.000000,10.000000,TCP_CUBIC,0.247125,323.722812,min_file_time
rtt-80,80.000000,0.200000,0.020000,1.000000,10.000000,TCP_CUBIC,0.223957,357.211429,min_file_time
rtt-80,80.000000,0.200000,0.050000,1.000000,10.000000,TCP_CUBIC,0.162176,493.291239,min_file_time
rtt-80,80.000000,0.200000,0.100000,1.000000,10.000000,TCP_BBR,0.189205,422.821807,min_file_time
rtt-80,80.000000,0.200000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-80,80.000000,0.300000,0.001000,1.000000,10.000000,TCP_CUBIC,0.370688,215.814917,min_file_time
rtt-80,80.000000,0.300000,0.020000,1.000000,10.000000,TCP_CUBIC,0.343659,232.788898,min_file_time
rtt-80,80.000000,0.300000,0.050000,1.000000,10.000000,TCP_BBR,0.289600,276.243094,min_file_time
rtt-80,80.000000,0.300000,0.100000,1.000000,10.000000,TCP_BBR,0.196928,406.239844,min_file_time
rtt-80,80.000000,0.300000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-80,80.000000,0.500000,0.001000,1.000000,10.000000,TCP_CUBIC,0.621675,128.684602,min_file_time
rtt-80,80.000000,0.500000,0.020000,1.000000,10.000000,TCP_CUBIC,0.567616,140.940354,min_file_time
rtt-80,80.000000,0.500000,0.050000,1.000000,10.000000,TCP_BBR,0.559893,142.884444,min_file_time
rtt-80,80.000000,0.500000,0.100000,1.000000,10.000000,TCP_BBR,0.501973,159.371122,min_file_time
rtt-80,80.000000,0.500000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-80,80.000000,1.000000,0.001000,1.000000,10.000000,TCP_CUBIC,1.243349,64.342353,min_file_time
rtt-80,80.000000,1.000000,0.020000,1.000000,10.000000,TCP_CUBIC,0.976917,81.890273,min_file_time
rtt-80,80.000000,1.000000,0.050000,1.000000,10.000000,TCP_BBR,1.115925,71.689406,min_file_time
rtt-80,80.000000,1.000000,0.100000,1.000000,10.000000,TCP_BBR,1.003947,79.685481,min_file_time
rtt-80,80.000000,1.000000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-80,80.000000,2.000000,0.001000,1.000000,10.000000,TCP_CUBIC,2.475115,32.321731,min_file_time
rtt-80,80.000000,2.000000,0.020000,1.000000,10.000000,TCP_BBR,2.417195,33.096213,min_file_time
rtt-80,80.000000,2.000000,0.050000,1.000000,10.000000,TCP_BBR,2.285909,34.997019,min_file_time
rtt-80,80.000000,2.000000,0.100000,1.000000,10.000000,TCP_BBR,1.729877,46.246063,min_file_time
rtt-80,80.000000,2.000000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
rtt-80,80.000000,3.000000,0.001000,1.000000,10.000000,TCP_BBR,3.675989,21.762851,min_file_time
rtt-80,80.000000,3.000000,0.020000,1.000000,10.000000,QUIC_BBR,1.672300,47.838307,min_file_time
rtt-80,80.000000,3.000000,0.050000,1.000000,10.000000,TCP_BBR,2.984811,26.802367,min_file_time
rtt-80,80.000000,3.000000,0.100000,1.000000,10.000000,TCP_BBR,2.540757,31.486679,min_file_time
rtt-80,80.000000,3.000000,0.150000,1.000000,10.000000,NO_DELIVERY,0.000000,,no_delivery
