data_type,packet_size_bytes,method,original_bytes,wire_bytes,compression_ratio,compress_ms,decompress_ms,rf_avg_selected_mbps,transfer_ms,end_to_end_ms,effective_throughput_mbps,selected_protocol_votes,note
adcp_current_log,512,lz4,3000000,1448131,0.482710,6.207927,3.595439,1.858587,6233.256592,6243.059958,3.844269,TCP_BBR:205;TCP_CUBIC:90,
adcp_current_log,512,gzip,3000000,1098249,0.366083,97.871384,21.733045,1.858587,4727.243474,4846.847903,4.951672,TCP_BBR:206;TCP_CUBIC:89,
adcp_current_log,512,gorilla,1118184,449547,0.402033,26.047833,13.023917,1.858587,1935.005743,1974.077492,4.531470,TCP_BBR:205;TCP_CUBIC:90,Gorilla-style numeric delta-of-delta estimate
adcp_current_log,1024,lz4,3000000,1121544,0.373848,3.871059,2.005878,1.858587,4827.513209,4833.390146,4.965459,TCP_BBR:206;TCP_CUBIC:89,
adcp_current_log,1024,gzip,3000000,770636,0.256879,42.489140,13.320236,1.853898,3325.472852,3381.282228,7.097899,TCP_BBR:205;TCP_CUBIC:90,
adcp_current_log,1024,gorilla,1118184,449547,0.402033,25.996083,12.998041,1.858587,1935.005743,1973.999867,4.531648,TCP_BBR:205;TCP_CUBIC:90,Gorilla-style numeric delta-of-delta estimate
adcp_current_log,1448,lz4,3000000,1020256,0.340085,3.358392,1.593534,1.853898,4402.640975,4407.592901,5.445149,TCP_BBR:205;TCP_CUBIC:90,
adcp_current_log,1448,gzip,3000000,675690,0.225230,38.456128,11.043303,1.853898,2915.758869,2965.258300,8.093730,TCP_BBR:205;TCP_CUBIC:90,
adcp_current_log,1448,gorilla,1118184,449547,0.402033,26.148334,13.074167,1.858587,1935.005743,1974.228244,4.531124,TCP_BBR:205;TCP_CUBIC:90,Gorilla-style numeric delta-of-delta estimate
adcp_current_log,2048,lz4,3000000,945049,0.315016,3.142774,1.382642,1.858587,4067.817697,4072.343113,5.893413,TCP_BBR:206;TCP_CUBIC:89,
adcp_current_log,2048,gzip,3000000,606627,0.202209,45.994136,9.235170,1.859131,2610.367620,2665.596926,9.003612,TCP_BBR:208;TCP_CUBIC:87,
adcp_current_log,2048,gorilla,1118184,449547,0.402033,25.827458,12.913729,1.858587,1935.005743,1973.746930,4.532228,TCP_BBR:205;TCP_CUBIC:90,Gorilla-style numeric delta-of-delta estimate
wave_sensor,512,lz4,2544182,1893621,0.744295,6.258636,3.113688,1.859474,8146.909561,8156.281885,2.495433,TCP_BBR:206;TCP_CUBIC:89,
wave_sensor,512,gzip,2544182,1165073,0.457936,96.493038,20.556063,1.859474,5012.483682,5129.532783,3.967897,TCP_BBR:206;TCP_CUBIC:89,
wave_sensor,512,gorilla,1600000,591819,0.369887,37.884959,18.942480,1.859474,2546.177862,2603.005301,4.917393,TCP_BBR:207;TCP_CUBIC:88,Gorilla-style numeric delta-of-delta estimate
wave_sensor,1024,lz4,2544182,1661823,0.653186,5.527117,8.508928,1.859356,7150.099973,7164.136018,2.841020,TCP_BBR:205;TCP_CUBIC:90,
wave_sensor,1024,gzip,2544182,975181,0.383298,66.171786,14.288534,1.860644,4192.874330,4273.334650,4.762898,TCP_BBR:207;TCP_CUBIC:88,
wave_sensor,1024,gorilla,1600000,591819,0.369887,37.805167,18.902583,1.859474,2546.177862,2602.885613,4.917619,TCP_BBR:206;TCP_CUBIC:89,Gorilla-style numeric delta-of-delta estimate
wave_sensor,1448,lz4,2544182,1586462,0.623565,5.189058,1.603430,1.858469,6829.113903,6835.906391,2.977433,TCP_BBR:204;TCP_CUBIC:91,
wave_sensor,1448,gzip,2544182,919351,0.361354,54.396999,12.376016,1.858587,3957.204618,4023.977633,5.058044,TCP_BBR:205;TCP_CUBIC:90,
wave_sensor,1448,gorilla,1600000,591819,0.369887,37.203458,18.601729,1.858587,2547.393629,2603.198816,4.917027,TCP_BBR:205;TCP_CUBIC:90,Gorilla-style numeric delta-of-delta estimate
wave_sensor,2048,lz4,2544182,1526104,0.599841,5.118580,1.438379,1.859356,6566.160277,6572.717236,3.096658,TCP_BBR:205;TCP_CUBIC:90,
wave_sensor,2048,gzip,2544182,878265,0.345205,71.684487,10.994331,1.859144,3779.222444,3861.901262,5.270320,TCP_BBR:206;TCP_CUBIC:89,
wave_sensor,2048,gorilla,1600000,591819,0.369887,37.182125,18.591062,1.859474,2546.177862,2601.951050,4.919385,TCP_BBR:206;TCP_CUBIC:89,Gorilla-style numeric delta-of-delta estimate
weather_csv,512,lz4,3000000,2109072,0.703024,7.600560,3.653742,1.860087,9070.854295,9082.108597,2.642558,TCP_BBR:206;TCP_CUBIC:89,
weather_csv,512,gzip,3000000,1278463,0.426154,122.550501,23.993846,1.860087,5498.509105,5645.053452,4.251510,TCP_BBR:206;TCP_CUBIC:89,
weather_csv,512,gorilla,1600000,657088,0.410680,37.144250,18.572125,1.860762,2825.027339,2880.743714,4.443297,TCP_BBR:208;TCP_CUBIC:87,Gorilla-style numeric delta-of-delta estimate
weather_csv,1024,lz4,3000000,1880766,0.626922,6.879040,2.355460,1.860087,8088.938807,8098.173307,2.963631,TCP_BBR:206;TCP_CUBIC:89,
weather_csv,1024,gzip,3000000,1081937,0.360646,73.819727,16.318748,1.860699,4651.743462,4741.881937,5.061282,TCP_BBR:210;TCP_CUBIC:85,
weather_csv,1024,gorilla,1600000,657088,0.410680,37.410625,18.705313,1.860762,2825.027339,2881.143276,4.442681,TCP_BBR:208;TCP_CUBIC:87,Gorilla-style numeric delta-of-delta estimate
weather_csv,1448,lz4,3000000,1798699,0.599566,6.651543,6.793664,1.859199,7739.671539,7753.116746,3.095529,TCP_BBR:205;TCP_CUBIC:90,
weather_csv,1448,gzip,3000000,1021352,0.340451,53.002488,13.937289,1.859168,4394.877949,4461.817726,5.378974,TCP_BBR:209;TCP_CUBIC:86,
weather_csv,1448,gorilla,1600000,657088,0.410680,37.241667,18.620833,1.859875,2826.375318,2882.237819,4.440994,TCP_BBR:207;TCP_CUBIC:88,Gorilla-style numeric delta-of-delta estimate
weather_csv,2048,lz4,3000000,1734125,0.578042,6.387933,1.565353,1.860087,7458.254248,7466.207534,3.214483,TCP_BBR:206;TCP_CUBIC:89,
weather_csv,2048,gzip,3000000,974285,0.324762,53.553068,12.131736,1.859168,4192.348635,4258.033439,5.636405,TCP_BBR:209;TCP_CUBIC:86,
weather_csv,2048,gorilla,1600000,657088,0.410680,37.142667,18.571334,1.860762,2825.027339,2880.741339,4.443301,TCP_BBR:208;TCP_CUBIC:87,Gorilla-style numeric delta-of-delta estimate
weather_tsv,512,lz4,3000000,1439849,0.479950,8.002296,3.865859,1.858469,6198.000850,6209.869005,3.864816,TCP_BBR:204;TCP_CUBIC:91,
weather_tsv,512,gzip,3000000,822927,0.274309,143.445774,20.669555,1.858587,3542.162379,3706.277708,6.475500,TCP_BBR:206;TCP_CUBIC:89,
weather_tsv,512,gorilla,1600000,480725,0.300453,36.664791,18.332396,1.858587,2069.206636,2124.203823,6.025787,TCP_BBR:206;TCP_CUBIC:89,Gorilla-style numeric delta-of-delta estimate
weather_tsv,1024,lz4,3000000,1196322,0.398774,5.734378,10.817084,1.860644,5143.689022,5160.240484,4.650946,TCP_BBR:207;TCP_CUBIC:88,
weather_tsv,1024,gzip,3000000,585494,0.195165,72.261469,12.113007,1.860320,2517.820925,2602.195401,9.222981,TCP_BBR:210;TCP_CUBIC:85,
weather_tsv,1024,gorilla,1600000,480725,0.300453,36.870291,18.435146,1.858587,2069.206636,2124.512073,6.024913,TCP_BBR:206;TCP_CUBIC:89,Gorilla-style numeric delta-of-delta estimate
weather_tsv,1448,lz4,3000000,1120782,0.373594,5.114217,2.080229,1.858587,4824.233298,4831.427744,4.967476,TCP_BBR:205;TCP_CUBIC:90,
weather_tsv,1448,gzip,3000000,511021,0.170340,82.708321,9.796100,1.859019,2199.100018,2291.604439,10.473012,TCP_BBR:209;TCP_CUBIC:86,
