StartTime: 2020-08-19 09:01:41.537
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(degC)	hx	hy	hz 
0x50	 09:01:56.758	 2020-08-17 15:59:51.150	-0.0122	0.0894	0.9912	3.5400	-4.2114	1.0986	4.5868	-1.4612	-62.6111	46.73	-29	9	9 
0x50	 09:01:56.858	 2020-08-17 15:59:51.250	-0.0088	0.0991	0.9956	3.5400	-4.8218	0.9155	4.9878	-1.7908	-63.1494	46.75	-27	7	6 
0x50	 09:01:56.957	 2020-08-17 15:59:51.350	-0.0039	0.1089	1.0000	3.2959	-5.1880	0.7324	5.3888	-2.1588	-63.6713	46.77	-23	9	7 
0x50	 09:01:57.070	 2020-08-17 15:59:51.450	0.0024	0.1172	1.0034	3.1128	-5.6152	0.4883	5.7788	-2.5653	-64.4623	46.76	-31	4	2 
0x50	 09:01:57.157	 2020-08-17 15:59:51.550	0.0098	0.1274	1.0083	2.5635	-5.6152	0.1831	6.1414	-2.9883	-65.6049	46.75	-35	5	7 
0x50	 09:01:57.308	 2020-08-17 15:59:51.650	0.0151	0.1328	1.0156	1.8921	-5.6152	-0.0610	6.4545	-3.4058	-66.9397	46.71	-34	0	2 
0x50	 09:01:57.357	 2020-08-17 15:59:51.750	0.0234	0.1357	1.0205	1.0986	-5.3711	-0.3662	6.6962	-3.8068	-68.2416	46.74	-33	2	2 
0x50	 09:01:57.469	 2020-08-17 15:59:51.850	0.0332	0.1387	1.0249	0.1831	-4.9438	-0.6104	6.8555	-4.1803	-69.6423	46.74	-39	2	3 
0x50	 09:01:57.557	 2020-08-17 15:59:51.950	0.0425	0.1392	1.0303	-0.6714	-4.3945	-0.7935	6.9214	-4.5154	-70.8179	46.74	-40	1	2 
0x50	 09:01:57.698	 2020-08-17 15:59:52.050	0.0518	0.1392	1.0352	-1.6479	-3.7842	-0.7935	6.8774	-4.8010	-71.9220	46.74	-39	3	-2 
0x50	 09:01:57.756	 2020-08-17 15:59:52.150	0.0586	0.1382	1.0396	-2.6855	-3.0518	-0.7935	6.7346	-5.0262	-72.9602	46.72	-40	1	-1 
0x50	 09:01:57.855	 2020-08-17 15:59:52.250	0.0620	0.1348	1.0449	-3.6621	-2.3193	-0.6104	6.4929	-5.1801	-73.7897	46.77	-38	6	2 
